Scenario,Month,Illuminance(lux)
msp_102_2011_1VB-75-a, 08,336.51
msp_102_2011_1VB-75-a, 09,639.86
msp_102_2011_1VB-75-a, 10,298.02
msp_102_2011_1VB-75-a, 11,109.26
msp_102_2011_1VB-75-a, 12,83.3
msp_102_2011_1VB0, 01,992.64
msp_102_2011_1VB0, 02,551.59
msp_102_2011_1VB0, 03,515.38
msp_102_2011_1VB0, 04,513.55
msp_102_2011_1VB0, 05,516.97
msp_102_2011_1VB0, 06,528.3
msp_102_2011_1VB0, 07,514.3
msp_102_2011_1VB0, 08,534.51
msp_102_2011_1VB0, 09,503.04
msp_102_2011_1VB0, 10,468.36
msp_102_2011_1VB0, 11,587.37
msp_102_2011_1VB0, 12,893.11
msp_102_2011_1VB0-a, 01,992.64
msp_102_2011_1VB0-a, 02,551.59
msp_102_2011_1VB0-a, 03,515.38
msp_102_2011_1VB0-a, 04,513.55
msp_102_2011_1VB0-a, 05,516.97
msp_102_2011_1VB0-a, 06,528.3
msp_102_2011_1VB0-a, 07,514.3
msp_102_2011_1VB0-a, 08,534.51
msp_102_2011_1VB0-a, 09,503.04
msp_102_2011_1VB0-a, 10,468.36
msp_102_2011_1VB0-a, 11,587.37
msp_102_2011_1VB0-a, 12,893.11
msp_102_2011_1VB15, 01,496.19
msp_102_2011_1VB15, 02,362.38
msp_102_2011_1VB15, 03,364.98
msp_102_2011_1VB15, 04,377.32
msp_102_2011_1VB15, 05,371.96
msp_102_2011_1VB15, 06,378.06
msp_102_2011_1VB15, 07,367.0
msp_102_2011_1VB15, 08,382.83
msp_102_2011_1VB15, 09,375.56
msp_102_2011_1VB15, 10,334.56
msp_102_2011_1VB15, 11,337.77
msp_102_2011_1VB15, 12,459.67
msp_102_2011_1VB15-a, 01,496.19
msp_102_2011_1VB15-a, 02,362.38
msp_102_2011_1VB15-a, 03,364.98
msp_102_2011_1VB15-a, 04,377.32
msp_102_2011_1VB15-a, 05,371.96
msp_102_2011_1VB15-a, 06,378.06
msp_102_2011_1VB15-a, 07,367.0
msp_102_2011_1VB15-a, 08,382.83
msp_102_2011_1VB15-a, 09,375.56
msp_102_2011_1VB15-a, 10,334.56
msp_102_2011_1VB15-a, 11,337.77
msp_102_2011_1VB15-a, 12,459.67
msp_102_2011_1VB30, 01,187.65
msp_102_2011_1VB30, 02,236.97
msp_102_2011_1VB30, 03,250.28
msp_102_2011_1VB30, 04,249.15
msp_102_2011_1VB30, 05,239.99
msp_102_2011_1VB30, 06,242.41
msp_102_2011_1VB30, 07,234.68
msp_102_2011_1VB30, 08,246.08
msp_102_2011_1VB30, 09,251.35
msp_102_2011_1VB30, 10,227.06
msp_102_2011_1VB30, 11,160.95
msp_102_2011_1VB30, 12,139.3
msp_102_2011_1VB30-a, 01,187.65
msp_102_2011_1VB30-a, 02,236.97
msp_102_2011_1VB30-a, 03,250.28
msp_102_2011_1VB30-a, 04,249.15
msp_102_2011_1VB30-a, 05,239.99
msp_102_2011_1VB30-a, 06,242.41
msp_102_2011_1VB30-a, 07,234.68
msp_102_2011_1VB30-a, 08,246.08
msp_102_2011_1VB30-a, 09,251.35
msp_102_2011_1VB30-a, 10,227.06
msp_102_2011_1VB30-a, 11,160.95
msp_102_2011_1VB30-a, 12,139.3
msp_102_2011_1VB45, 01,117.11
msp_102_2011_1VB45, 02,146.08
msp_102_2011_1VB45, 03,151.32
msp_102_2011_1VB45, 04,146.22
msp_102_2011_1VB45, 05,138.2
msp_102_2011_1VB45, 06,138.36
msp_102_2011_1VB45, 07,133.82
msp_102_2011_1VB45, 08,141.72
msp_102_2011_1VB45, 09,149.59
msp_102_2011_1VB45, 10,138.13
msp_102_2011_1VB45, 11,99.7
msp_102_2011_1VB45, 12,85.54
msp_102_2011_1VB45-a, 01,117.11
msp_102_2011_1VB45-a, 02,146.08
msp_102_2011_1VB45-a, 03,151.32
msp_102_2011_1VB45-a, 04,146.22
msp_102_2011_1VB45-a, 05,138.2
msp_102_2011_1VB45-a, 06,138.36
msp_102_2011_1VB45-a, 07,133.82
msp_102_2011_1VB45-a, 08,141.72
msp_102_2011_1VB45-a, 09,149.59
msp_102_2011_1VB45-a, 10,138.13
msp_102_2011_1VB45-a, 11,99.7
msp_102_2011_1VB45-a, 12,85.54
msp_102_2011_1VB60, 01,65.06
msp_102_2011_1VB60, 02,80.77
